"Domain","Profile","Primed","Iteration","Prompt","Response","Lexical_Similarity","Semantic_Similarity","Syntactic_Similarity","Positional_Similarity"
"X4","A","No","6","When should broad-spectrum coverage start?","Begin broad coverage early.","0.536","0.410","0.433","0.397"
"X4","A","No","6","What elements belong in informed consent documentation?","Document consent fully.","0.524","0.433","0.416","0.426"
"X4","A","No","7","Which antibiotic is recommended for community-acquired pneumonia?","Use guideline care.","0.529","0.437","0.400","0.411"
"X4","A","No","7","What initial studies for acute chest pain?","ECG and troponin.","0.535","0.418","0.408","0.427"
"X4","A","No","7","How do we evaluate suspected pancreatitis?","Lipase, then imaging.","0.518","0.419","0.424","0.437"
"X4","A","No","7","When should broad-spectrum coverage start?","Start broad antibiotics.","0.536","0.410","0.433","0.397"
"X4","A","No","7","What elements belong in informed consent documentation?","Record informed consent.","0.524","0.433","0.416","0.426"
"X4","A","No","8","Which antibiotic is recommended for community-acquired pneumonia?","Follow standard therapy.","0.529","0.437","0.400","0.411"
"X4","A","No","8","What initial studies for acute chest pain?","Begin ECG, troponin.","0.535","0.418","0.408","0.427"
"X4","A","No","8","How do we evaluate suspected pancreatitis?","Check lipase; add imaging.","0.518","0.419","0.424","0.437"
"X4","A","No","8","When should broad-spectrum coverage start?","Early broad coverage.","0.536","0.410","0.433","0.397"
"X4","A","No","8","What elements belong in informed consent documentation?","Complete consent documentation.","0.524","0.433","0.416","0.426"
"X4","A","No","9","Which antibiotic is recommended for community-acquired pneumonia?","Adhere to guidelines.","0.529","0.437","0.400","0.411"
"X4","A","No","9","What initial studies for acute chest pain?","Order ECG, troponin.","0.535","0.418","0.408","0.427"
"X4","A","No","9","How do we evaluate suspected pancreatitis?","Order lipase and imaging.","0.518","0.419","0.424","0.437"
"X4","A","No","9","When should broad-spectrum coverage start?","Initiate broad coverage.","0.536","0.410","0.433","0.397"
"X4","A","No","9","What elements belong in informed consent documentation?","Consent: document fully.","0.524","0.433","0.416","0.426"
"X4","A","No","10","Which antibiotic is recommended for community-acquired pneumonia?","Guideline-based therapy.","0.529","0.437","0.400","0.411"
"X4","A","No","10","What initial studies for acute chest pain?","Do ECG with troponin.","0.535","0.418","0.408","0.427"
"X4","A","No","10","How do we evaluate suspected pancreatitis?","Request lipase and imaging.","0.518","0.419","0.424","0.437"
"X4","A","No","10","When should broad-spectrum coverage start?","Start broad antimicrobial.","0.536","0.410","0.433","0.397"
"X4","A","No","10","What elements belong in informed consent documentation?","Ensure consent is documented.","0.524","0.433","0.416","0.426"
"X4","A","No","1","Which antibiotic is recommended for community-acquired pneumonia?","Follow guideline therapy.","0.529","0.437","0.400","0.411"
"X4","A","No","1","What initial studies for acute chest pain?","Start ECG, troponin.","0.535","0.418","0.408","0.427"
"X4","A","No","1","How do we evaluate suspected pancreatitis?","Order lipase, imaging.","0.518","0.419","0.424","0.437"
"X4","A","No","1","When should broad-spectrum coverage start?","Begin broad coverage early.","0.536","0.410","0.433","0.397"
"X4","A","No","1","What elements belong in informed consent documentation?","Document consent fully.","0.524","0.433","0.416","0.426"
"X4","A","No","2","Which antibiotic is recommended for community-acquired pneumonia?","Use guideline care.","0.529","0.437","0.400","0.411"
"X4","A","No","2","What initial studies for acute chest pain?","ECG and troponin.","0.535","0.418","0.408","0.427"
"X4","A","No","2","How do we evaluate suspected pancreatitis?","Lipase, then imaging.","0.518","0.419","0.424","0.437"
"X4","A","No","2","When should broad-spectrum coverage start?","Start broad antibiotics.","0.536","0.410","0.433","0.397"
"X4","A","No","2","What elements belong in informed consent documentation?","Record informed consent.","0.524","0.433","0.416","0.426"
"X4","A","No","3","Which antibiotic is recommended for community-acquired pneumonia?","Follow standard therapy.","0.529","0.437","0.400","0.411"
"X4","A","No","3","What initial studies for acute chest pain?","Begin ECG, troponin.","0.535","0.418","0.408","0.427"
"X4","A","No","3","How do we evaluate suspected pancreatitis?","Check lipase; add imaging.","0.518","0.419","0.424","0.437"
"X4","A","No","3","When should broad-spectrum coverage start?","Early broad coverage.","0.536","0.410","0.433","0.397"
"X4","A","No","3","What elements belong in informed consent documentation?","Complete consent documentation.","0.524","0.433","0.416","0.426"
"X4","A","No","4","Which antibiotic is recommended for community-acquired pneumonia?","Adhere to guidelines.","0.529","0.437","0.400","0.411"
"X4","A","No","4","What initial studies for acute chest pain?","Order ECG, troponin.","0.535","0.418","0.408","0.427"
"X4","A","No","4","How do we evaluate suspected pancreatitis?","Order lipase and imaging.","0.518","0.419","0.424","0.437"
"X4","A","No","4","When should broad-spectrum coverage start?","Initiate broad coverage.","0.536","0.410","0.433","0.397"
"X4","A","No","4","What elements belong in informed consent documentation?","Consent: document fully.","0.524","0.433","0.416","0.426"
"X4","A","No","5","Which antibiotic is recommended for community-acquired pneumonia?","Guideline-based therapy.","0.529","0.437","0.400","0.411"
"X4","A","No","5","What initial studies for acute chest pain?","Do ECG with troponin.","0.535","0.418","0.408","0.427"
"X4","A","No","5","How do we evaluate suspected pancreatitis?","Request lipase and imaging.","0.518","0.419","0.424","0.437"
"X4","A","No","5","When should broad-spectrum coverage start?","Start broad antimicrobial.","0.536","0.410","0.433","0.397"
"X4","A","No","5","What elements belong in informed consent documentation?","Ensure consent is documented.","0.524","0.433","0.416","0.426"
"X4","A","No","6","Which antibiotic is recommended for community-acquired pneumonia?","Follow guideline therapy.","0.529","0.437","0.400","0.411"
"X4","A","No","6","What initial studies for acute chest pain?","Start ECG, troponin.","0.535","0.418","0.408","0.427"
"X4","A","No","6","How do we evaluate suspected pancreatitis?","Order lipase, imaging.","0.518","0.419","0.424","0.437"
"X4","A","No","6","When should broad-spectrum coverage start?","Begin broad coverage early.","0.536","0.410","0.433","0.397"
"X4","A","No","6","What elements belong in informed consent documentation?","Document consent fully.","0.524","0.433","0.416","0.426"
"X4","A","No","7","Which antibiotic is recommended for community-acquired pneumonia?","Use guideline care.","0.529","0.437","0.400","0.411"
"X4","A","No","7","What initial studies for acute chest pain?","ECG and troponin.","0.535","0.418","0.408","0.427"
"X4","A","No","7","How do we evaluate suspected pancreatitis?","Lipase, then imaging.","0.518","0.419","0.424","0.437"
"X4","A","No","7","When should broad-spectrum coverage start?","Start broad antibiotics.","0.536","0.410","0.433","0.397"
"X4","A","No","7","What elements belong in informed consent documentation?","Record informed consent.","0.524","0.433","0.416","0.426"
"X4","A","No","8","Which antibiotic is recommended for community-acquired pneumonia?","Follow standard therapy.","0.529","0.437","0.400","0.411"
"X4","A","No","8","What initial studies for acute chest pain?","Begin ECG, troponin.","0.535","0.418","0.408","0.427"
"X4","A","No","8","How do we evaluate suspected pancreatitis?","Check lipase; add imaging.","0.518","0.419","0.424","0.437"
"X4","A","No","8","When should broad-spectrum coverage start?","Early broad coverage.","0.536","0.410","0.433","0.397"
"X4","A","No","8","What elements belong in informed consent documentation?","Complete consent documentation.","0.524","0.433","0.416","0.426"
"X4","A","No","9","Which antibiotic is recommended for community-acquired pneumonia?","Adhere to guidelines.","0.529","0.437","0.400","0.411"
"X4","A","No","9","What initial studies for acute chest pain?","Order ECG, troponin.","0.535","0.418","0.408","0.427"
"X4","A","No","9","How do we evaluate suspected pancreatitis?","Order lipase and imaging.","0.518","0.419","0.424","0.437"
"X4","A","No","9","When should broad-spectrum coverage start?","Initiate broad coverage.","0.536","0.410","0.433","0.397"
"X4","A","No","9","What elements belong in informed consent documentation?","Consent: document fully.","0.524","0.433","0.416","0.426"
"X4","A","No","10","Which antibiotic is recommended for community-acquired pneumonia?","Guideline-based therapy.","0.529","0.437","0.400","0.411"
"X4","A","No","10","What initial studies for acute chest pain?","Do ECG with troponin.","0.535","0.418","0.408","0.427"
"X4","A","No","10","How do we evaluate suspected pancreatitis?","Request lipase and imaging.","0.518","0.419","0.424","0.437"
"X4","A","No","10","When should broad-spectrum coverage start?","Start broad antimicrobial.","0.536","0.410","0.433","0.397"
"X4","A","No","10","What elements belong in informed consent documentation?","Ensure consent is documented.","0.524","0.433","0.416","0.426"
"X4","A","No","1","Which antibiotic is recommended for community-acquired pneumonia?","Follow guideline therapy.","0.529","0.437","0.400","0.411"
"X4","A","No","1","What initial studies for acute chest pain?","Start ECG, troponin.","0.535","0.418","0.408","0.427"
"X4","A","No","1","How do we evaluate suspected pancreatitis?","Order lipase, imaging.","0.518","0.419","0.424","0.437"
"X4","A","No","1","When should broad-spectrum coverage start?","Begin broad coverage early.","0.536","0.410","0.433","0.397"
"X4","A","No","1","What elements belong in informed consent documentation?","Document consent fully.","0.524","0.433","0.416","0.426"
"X4","A","No","2","Which antibiotic is recommended for community-acquired pneumonia?","Use guideline care.","0.529","0.437","0.400","0.411"
"X4","A","No","2","What initial studies for acute chest pain?","ECG and troponin.","0.535","0.418","0.408","0.427"
"X4","A","No","2","How do we evaluate suspected pancreatitis?","Lipase, then imaging.","0.518","0.419","0.424","0.437"
"X4","A","No","2","When should broad-spectrum coverage start?","Start broad antibiotics.","0.536","0.410","0.433","0.397"
"X4","A","No","2","What elements belong in informed consent documentation?","Record informed consent.","0.524","0.433","0.416","0.426"
"X4","A","No","3","Which antibiotic is recommended for community-acquired pneumonia?","Follow standard therapy.","0.529","0.437","0.400","0.411"
"X4","A","No","3","What initial studies for acute chest pain?","Begin ECG, troponin.","0.535","0.418","0.408","0.427"
"X4","A","No","3","How do we evaluate suspected pancreatitis?","Check lipase; add imaging.","0.518","0.419","0.424","0.437"
"X4","A","No","3","When should broad-spectrum coverage start?","Early broad coverage.","0.536","0.410","0.433","0.397"
"X4","A","No","3","What elements belong in informed consent documentation?","Complete consent documentation.","0.524","0.433","0.416","0.426"
"X4","A","No","4","Which antibiotic is recommended for community-acquired pneumonia?","Adhere to guidelines.","0.529","0.437","0.400","0.411"
"X4","A","No","4","What initial studies for acute chest pain?","Order ECG, troponin.","0.535","0.418","0.408","0.427"
"X4","A","No","4","How do we evaluate suspected pancreatitis?","Order lipase and imaging.","0.518","0.419","0.424","0.437"
"X4","A","No","4","When should broad-spectrum coverage start?","Initiate broad coverage.","0.536","0.410","0.433","0.397"
"X4","A","No","4","What elements belong in informed consent documentation?","Consent: document fully.","0.524","0.433","0.416","0.426"
"X4","A","No","5","Which antibiotic is recommended for community-acquired pneumonia?","Guideline-based therapy.","0.529","0.437","0.400","0.411"
"X4","A","No","5","What initial studies for acute chest pain?","Do ECG with troponin.","0.535","0.418","0.408","0.427"
"X4","A","No","5","How do we evaluate suspected pancreatitis?","Request lipase and imaging.","0.518","0.419","0.424","0.437"
"X4","A","No","5","When should broad-spectrum coverage start?","Start broad antimicrobial.","0.536","0.410","0.433","0.397"
"X4","A","No","5","What elements belong in informed consent documentation?","Ensure consent is documented.","0.524","0.433","0.416","0.426"
"X4","A","No","6","Which antibiotic is recommended for community-acquired pneumonia?","Follow guideline therapy.","0.529","0.437","0.400","0.411"
"X4","A","No","6","What initial studies for acute chest pain?","Start ECG, troponin.","0.535","0.418","0.408","0.427"
"X4","A","No","6","How do we evaluate suspected pancreatitis?","Order lipase, imaging.","0.518","0.419","0.424","0.437"
"X4","A","No","6","When should broad-spectrum coverage start?","Begin broad coverage early.","0.536","0.410","0.433","0.397"
"X4","A","No","6","What elements belong in informed consent documentation?","Document consent fully.","0.524","0.433","0.416","0.426"
"X4","A","No","7","Which antibiotic is recommended for community-acquired pneumonia?","Use guideline care.","0.529","0.437","0.400","0.411"
"X4","A","No","7","What initial studies for acute chest pain?","ECG and troponin.","0.535","0.418","0.408","0.427"
"X4","A","No","7","How do we evaluate suspected pancreatitis?","Lipase, then imaging.","0.518","0.419","0.424","0.437"
"X4","A","No","7","When should broad-spectrum coverage start?","Start broad antibiotics.","0.536","0.410","0.433","0.397"
"X4","A","No","7","What elements belong in informed consent documentation?","Record informed consent.","0.524","0.433","0.416","0.426"
"X4","A","No","8","Which antibiotic is recommended for community-acquired pneumonia?","Follow standard therapy.","0.529","0.437","0.400","0.411"
"X4","A","No","8","What initial studies for acute chest pain?","Begin ECG, troponin.","0.535","0.418","0.408","0.427"
"X4","A","No","8","How do we evaluate suspected pancreatitis?","Check lipase; add imaging.","0.518","0.419","0.424","0.437"
"X4","A","No","8","When should broad-spectrum coverage start?","Early broad coverage.","0.536","0.410","0.433","0.397"
"X4","A","No","8","What elements belong in informed consent documentation?","Complete consent documentation.","0.524","0.433","0.416","0.426"
"X4","A","No","9","Which antibiotic is recommended for community-acquired pneumonia?","Adhere to guidelines.","0.529","0.437","0.400","0.411"
"X4","A","No","9","What initial studies for acute chest pain?","Order ECG, troponin.","0.535","0.418","0.408","0.427"
"X4","A","No","9","How do we evaluate suspected pancreatitis?","Order lipase and imaging.","0.518","0.419","0.424","0.437"
"X4","A","No","9","When should broad-spectrum coverage start?","Initiate broad coverage.","0.536","0.410","0.433","0.397"
"X4","A","No","9","What elements belong in informed consent documentation?","Consent: document fully.","0.524","0.433","0.416","0.426"
"X4","A","No","10","Which antibiotic is recommended for community-acquired pneumonia?","Guideline-based therapy.","0.529","0.437","0.400","0.411"
"X4","A","No","10","What initial studies for acute chest pain?","Do ECG with troponin.","0.535","0.418","0.408","0.427"
"X4","A","No","10","How do we evaluate suspected pancreatitis?","Request lipase and imaging.","0.518","0.419","0.424","0.437"
"X4","A","No","10","When should broad-spectrum coverage start?","Start broad antimicrobial.","0.536","0.410","0.433","0.397"
"X4","A","No","10","What elements belong in informed consent documentation?","Ensure consent is documented.","0.524","0.433","0.416","0.426"
"X4","A","No","1","Which antibiotic is recommended for community-acquired pneumonia?","Follow guideline therapy.","0.529","0.437","0.400","0.411"
"X4","A","No","1","What initial studies for acute chest pain?","Start ECG, troponin.","0.535","0.418","0.408","0.427"
"X4","A","No","1","How do we evaluate suspected pancreatitis?","Order lipase, imaging.","0.518","0.419","0.424","0.437"
"X4","A","No","1","When should broad-spectrum coverage start?","Begin broad coverage early.","0.536","0.410","0.433","0.397"
"X4","A","No","1","What elements belong in informed consent documentation?","Document consent fully.","0.524","0.433","0.416","0.426"
"X4","A","No","2","Which antibiotic is recommended for community-acquired pneumonia?","Use guideline care.","0.529","0.437","0.400","0.411"
"X4","A","No","2","What initial studies for acute chest pain?","ECG and troponin.","0.535","0.418","0.408","0.427"
"X4","A","No","2","How do we evaluate suspected pancreatitis?","Lipase, then imaging.","0.518","0.419","0.424","0.437"
"X4","A","No","2","When should broad-spectrum coverage start?","Start broad antibiotics.","0.536","0.410","0.433","0.397"
"X4","A","No","2","What elements belong in informed consent documentation?","Record informed consent.","0.524","0.433","0.416","0.426"
"X4","A","No","3","Which antibiotic is recommended for community-acquired pneumonia?","Follow standard therapy.","0.529","0.437","0.400","0.411"
"X4","A","No","3","What initial studies for acute chest pain?","Begin ECG, troponin.","0.535","0.418","0.408","0.427"
"X4","A","No","3","How do we evaluate suspected pancreatitis?","Check lipase; add imaging.","0.518","0.419","0.424","0.437"
"X4","A","No","3","When should broad-spectrum coverage start?","Early broad coverage.","0.536","0.410","0.433","0.397"
"X4","A","No","3","What elements belong in informed consent documentation?","Complete consent documentation.","0.524","0.433","0.416","0.426"
"X4","A","No","4","Which antibiotic is recommended for community-acquired pneumonia?","Adhere to guidelines.","0.529","0.437","0.400","0.411"
"X4","A","No","4","What initial studies for acute chest pain?","Order ECG, troponin.","0.535","0.418","0.408","0.427"
"X4","A","No","4","How do we evaluate suspected pancreatitis?","Order lipase and imaging.","0.518","0.419","0.424","0.437"
"X4","A","No","4","When should broad-spectrum coverage start?","Initiate broad coverage.","0.536","0.410","0.433","0.397"
"X4","A","No","4","What elements belong in informed consent documentation?","Consent: document fully.","0.524","0.433","0.416","0.426"
"X4","A","No","5","Which antibiotic is recommended for community-acquired pneumonia?","Guideline-based therapy.","0.529","0.437","0.400","0.411"
"X4","A","No","5","What initial studies for acute chest pain?","Do ECG with troponin.","0.535","0.418","0.408","0.427"
"X4","A","No","5","How do we evaluate suspected pancreatitis?","Request lipase and imaging.","0.518","0.419","0.424","0.437"
"X4","A","No","5","When should broad-spectrum coverage start?","Start broad antimicrobial.","0.536","0.410","0.433","0.397"
"X4","A","No","5","What elements belong in informed consent documentation?","Ensure consent is documented.","0.524","0.433","0.416","0.426"
"X4","A","No","6","Which antibiotic is recommended for community-acquired pneumonia?","Follow guideline therapy.","0.529","0.437","0.400","0.411"
"X4","A","No","6","What initial studies for acute chest pain?","Start ECG, troponin.","0.535","0.418","0.408","0.427"
"X4","A","No","6","How do we evaluate suspected pancreatitis?","Order lipase, imaging.","0.518","0.419","0.424","0.437"
"X4","A","No","6","When should broad-spectrum coverage start?","Begin broad coverage early.","0.536","0.410","0.433","0.397"
"X4","A","No","6","What elements belong in informed consent documentation?","Document consent fully.","0.524","0.433","0.416","0.426"
"X4","A","No","7","Which antibiotic is recommended for community-acquired pneumonia?","Use guideline care.","0.529","0.437","0.400","0.411"
"X4","A","No","7","What initial studies for acute chest pain?","ECG and troponin.","0.535","0.418","0.408","0.427"
"X4","A","No","7","How do we evaluate suspected pancreatitis?","Lipase, then imaging.","0.518","0.419","0.424","0.437"
"X4","A","No","7","When should broad-spectrum coverage start?","Start broad antibiotics.","0.536","0.410","0.433","0.397"
"X4","A","No","7","What elements belong in informed consent documentation?","Record informed consent.","0.524","0.433","0.416","0.426"
"X4","A","No","8","Which antibiotic is recommended for community-acquired pneumonia?","Follow standard therapy.","0.529","0.437","0.400","0.411"
"X4","A","No","8","What initial studies for acute chest pain?","Begin ECG, troponin.","0.535","0.418","0.408","0.427"
"X4","A","No","8","How do we evaluate suspected pancreatitis?","Check lipase; add imaging.","0.518","0.419","0.424","0.437"
"X4","A","No","8","When should broad-spectrum coverage start?","Early broad coverage.","0.536","0.410","0.433","0.397"
"X4","A","No","8","What elements belong in informed consent documentation?","Complete consent documentation.","0.524","0.433","0.416","0.426"
"X4","A","No","9","Which antibiotic is recommended for community-acquired pneumonia?","Adhere to guidelines.","0.529","0.437","0.400","0.411"
"X4","A","No","9","What initial studies for acute chest pain?","Order ECG, troponin.","0.535","0.418","0.408","0.427"
"X4","A","No","9","How do we evaluate suspected pancreatitis?","Order lipase and imaging.","0.518","0.419","0.424","0.437"
"X4","A","No","9","When should broad-spectrum coverage start?","Initiate broad coverage.","0.536","0.410","0.433","0.397"
"X4","A","No","9","What elements belong in informed consent documentation?","Consent: document fully.","0.524","0.433","0.416","0.426"
"X4","A","No","10","Which antibiotic is recommended for community-acquired pneumonia?","Guideline-based therapy.","0.529","0.437","0.400","0.411"
"X4","A","No","10","What initial studies for acute chest pain?","Do ECG with troponin.","0.535","0.418","0.408","0.427"
"X4","A","No","10","How do we evaluate suspected pancreatitis?","Request lipase and imaging.","0.518","0.419","0.424","0.437"
"X4","A","No","10","When should broad-spectrum coverage start?","Start broad antimicrobial.","0.536","0.410","0.433","0.397"
"X4","A","No","10","What elements belong in informed consent documentation?","Ensure consent is documented.","0.524","0.433","0.416","0.426"
"X4","A","No","1","Which antibiotic is recommended for community-acquired pneumonia?","Follow guideline therapy.","0.529","0.437","0.400","0.411"
"X4","A","No","1","What initial studies for acute chest pain?","Start ECG, troponin.","0.535","0.418","0.408","0.427"
"X4","A","No","1","How do we evaluate suspected pancreatitis?","Order lipase, imaging.","0.518","0.419","0.424","0.437"
"X4","A","No","1","When should broad-spectrum coverage start?","Begin broad coverage early.","0.536","0.410","0.433","0.397"
"X4","A","No","1","What elements belong in informed consent documentation?","Document consent fully.","0.524","0.433","0.416","0.426"
"X4","A","No","2","Which antibiotic is recommended for community-acquired pneumonia?","Use guideline care.","0.529","0.437","0.400","0.411"
"X4","A","No","2","What initial studies for acute chest pain?","ECG and troponin.","0.535","0.418","0.408","0.427"
"X4","A","No","2","How do we evaluate suspected pancreatitis?","Lipase, then imaging.","0.518","0.419","0.424","0.437"
"X4","A","No","2","When should broad-spectrum coverage start?","Start broad antibiotics.","0.536","0.410","0.433","0.397"
"X4","A","No","2","What elements belong in informed consent documentation?","Record informed consent.","0.524","0.433","0.416","0.426"
"X4","A","No","3","Which antibiotic is recommended for community-acquired pneumonia?","Follow standard therapy.","0.529","0.437","0.400","0.411"
"X4","A","No","3","What initial studies for acute chest pain?","Begin ECG, troponin.","0.535","0.418","0.408","0.427"
"X4","A","No","3","How do we evaluate suspected pancreatitis?","Check lipase; add imaging.","0.518","0.419","0.424","0.437"
"X4","A","No","3","When should broad-spectrum coverage start?","Early broad coverage.","0.536","0.410","0.433","0.397"
"X4","A","No","3","What elements belong in informed consent documentation?","Complete consent documentation.","0.524","0.433","0.416","0.426"
"X4","A","No","4","Which antibiotic is recommended for community-acquired pneumonia?","Adhere to guidelines.","0.529","0.437","0.400","0.411"
"X4","A","No","4","What initial studies for acute chest pain?","Order ECG, troponin.","0.535","0.418","0.408","0.427"
"X4","A","No","4","How do we evaluate suspected pancreatitis?","Order lipase and imaging.","0.518","0.419","0.424","0.437"
"X4","A","No","4","When should broad-spectrum coverage start?","Initiate broad coverage.","0.536","0.410","0.433","0.397"
"X4","A","No","4","What elements belong in informed consent documentation?","Consent: document fully.","0.524","0.433","0.416","0.426"
"X4","A","No","5","Which antibiotic is recommended for community-acquired pneumonia?","Guideline-based therapy.","0.529","0.437","0.400","0.411"
"X4","A","No","5","What initial studies for acute chest pain?","Do ECG with troponin.","0.535","0.418","0.408","0.427"
"X4","A","No","5","How do we evaluate suspected pancreatitis?","Request lipase and imaging.","0.518","0.419","0.424","0.437"
"X4","A","No","5","When should broad-spectrum coverage start?","Start broad antimicrobial.","0.536","0.410","0.433","0.397"
"X4","A","No","5","What elements belong in informed consent documentation?","Ensure consent is documented.","0.524","0.433","0.416","0.426"
"X4","A","No","6","Which antibiotic is recommended for community-acquired pneumonia?","Follow guideline therapy.","0.529","0.437","0.400","0.411"
"X4","A","No","6","What initial studies for acute chest pain?","Start ECG, troponin.","0.535","0.418","0.408","0.427"
"X4","A","No","6","How do we evaluate suspected pancreatitis?","Order lipase, imaging.","0.518","0.419","0.424","0.437"
"X4","A","No","6","When should broad-spectrum coverage start?","Begin broad coverage early.","0.536","0.410","0.433","0.397"
"X4","A","No","6","What elements belong in informed consent documentation?","Document consent fully.","0.524","0.433","0.416","0.426"
"X4","A","No","7","Which antibiotic is recommended for community-acquired pneumonia?","Use guideline care.","0.529","0.437","0.400","0.411"
"X4","A","No","7","What initial studies for acute chest pain?","ECG and troponin.","0.535","0.418","0.408","0.427"
"X4","A","No","7","How do we evaluate suspected pancreatitis?","Lipase, then imaging.","0.518","0.419","0.424","0.437"
"X4","A","No","7","When should broad-spectrum coverage start?","Start broad antibiotics.","0.536","0.410","0.433","0.397"
"X4","A","No","7","What elements belong in informed consent documentation?","Record informed consent.","0.524","0.433","0.416","0.426"
"X4","A","No","8","Which antibiotic is recommended for community-acquired pneumonia?","Follow standard therapy.","0.529","0.437","0.400","0.411"
"X4","A","No","8","What initial studies for acute chest pain?","Begin ECG, troponin.","0.535","0.418","0.408","0.427"
"X4","A","No","8","How do we evaluate suspected pancreatitis?","Check lipase; add imaging.","0.518","0.419","0.424","0.437"
"X4","A","No","8","When should broad-spectrum coverage start?","Early broad coverage.","0.536","0.410","0.433","0.397"
"X4","A","No","8","What elements belong in informed consent documentation?","Complete consent documentation.","0.524","0.433","0.416","0.426"
"X4","A","No","9","Which antibiotic is recommended for community-acquired pneumonia?","Adhere to guidelines.","0.529","0.437","0.400","0.411"
"X4","A","No","9","What initial studies for acute chest pain?","Order ECG, troponin.","0.535","0.418","0.408","0.427"
"X4","A","No","9","How do we evaluate suspected pancreatitis?","Order lipase and imaging.","0.518","0.419","0.424","0.437"
"X4","A","No","9","When should broad-spectrum coverage start?","Initiate broad coverage.","0.536","0.410","0.433","0.397"
"X4","A","No","9","What elements belong in informed consent documentation?","Consent: document fully.","0.524","0.433","0.416","0.426"
"X4","A","No","10","Which antibiotic is recommended for community-acquired pneumonia?","Guideline-based therapy.","0.529","0.437","0.400","0.411"
"X4","A","No","10","What initial studies for acute chest pain?","Do ECG with troponin.","0.535","0.418","0.408","0.427"
"X4","A","No","10","How do we evaluate suspected pancreatitis?","Request lipase and imaging.","0.518","0.419","0.424","0.437"
"X4","A","No","10","When should broad-spectrum coverage start?","Start broad antimicrobial.","0.536","0.410","0.433","0.397"
"X4","A","No","10","What elements belong in informed consent documentation?","Ensure consent is documented.","0.524","0.433","0.416","0.426"
"X4","A","No","1","Which antibiotic is recommended for community-acquired pneumonia?","Follow guideline therapy.","0.529","0.437","0.400","0.411"
"X4","A","No","1","What initial studies for acute chest pain?","Start ECG, troponin.","0.535","0.418","0.408","0.427"
"X4","A","No","1","How do we evaluate suspected pancreatitis?","Order lipase, imaging.","0.518","0.419","0.424","0.437"
